类型,标题,地址
掘金后端本周最热,HTTP3为什么抛弃了经典的TCP，转而拥抱 QUIC 呢,https://juejin.im/post/7384266820466180148
掘金后端本周最热,JDK 21 正式特性全面体验,https://juejin.im/post/7383311950174339110
掘金人工智能本周最热,无任何数学公式理解大模型基本原理,https://juejin.im/post/7383988944512483368
麻省理工科技评论本周热文,Meta推出AI音频水印工具，能鉴别AIGC音频和真人音频，已在GitHub开源,http://www.mittrchina.com/news/detail/13446
GitHubTrending Weekly,Doriandarko / maestro,https://github.com/Doriandarko/maestro
GitHubTrending Weekly,sxyazi / yazi,https://github.com/sxyazi/yazi
GitHubTrending Weekly,danny-avila / LibreChat,https://github.com/danny-avila/LibreChat
GitHubTrending Weekly,EbookFoundation / free-programming-books,https://github.com/EbookFoundation/free-programming-books
GitHubTrending Weekly,tencentmusic / supersonic,https://github.com/tencentmusic/supersonic
GitHubTrending Weekly,snipe / snipe-it,https://github.com/snipe/snipe-it
GitHubTrending Weekly,Asabeneh / 30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python
GitHubTrending Weekly,swisskyrepo / PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings
GitHubTrending Weekly,Lissy93 / web-check,https://github.com/Lissy93/web-check
GitHubTrending Weekly,anthropics / anthropic-sdk-python,https://github.com/anthropics/anthropic-sdk-python
GitHubTrending Weekly,ente-io / ente,https://github.com/ente-io/ente
GitHubTrending Weekly,files-community / Files,https://github.com/files-community/Files
GitHubTrending Weekly,LLaVA-VL / LLaVA-NeXT,https://github.com/LLaVA-VL/LLaVA-NeXT
GitHubTrending Weekly,niedev / RTranslator,https://github.com/niedev/RTranslator
GitHubTrending Weekly,donnemartin / system-design-primer,https://github.com/donnemartin/system-design-primer
GitHubTrending Weekly,mehdihadeli / awesome-software-architecture,https://github.com/mehdihadeli/awesome-software-architecture
GitHubTrending Weekly,hallo,https://github.com/fudan-generative-vision/hallo
网站推荐,sinqi tools,https://sinqi.tools/zh
网站推荐,remote-playbook,https://learn.gitlab.com/allremote/remote-playbook
其他值得看,科技爱好者周刊（第 306 期）,https://www.ruanyifeng.com/blog/2024/06/weekly-issue-306.html
其他值得看,史上最快AI芯片「Sohu」，速度10倍于B200，哈佛辍学生打造,https://www.jiqizhixin.com/articles/2024-06-26-5
其他值得看,OpenAI停服，国产大模型免费用！开发者Token自由实现了,https://jiqizhixin.com/articles/2024-06-25-7
